"","PT","AU","TI","SO","VL","IS","SI","BP","EP","DI","PD","PY","AB","ZB","TC","Z8","ZR","ZS","Z9","SN","EI","UT","ER","PM","AR","MA","SU","OI","RI","BE","CT","CY","CL","SP","BN","SE","BA","D2","S1","GP","Z1","AK","HO","PN","DB","C1","AU_UN","SR"
"CURRAN DEAN, 2018, ","J","CURRAN DEAN","RISK, INNOVATION, AND DEMOCRACY IN THE DIGITAL ECONOMY","EUROPEAN JOURNAL OF SOCIAL THEORY","21","2","SI","207","226","10.1177/1368431017710907","MAY 2018",2018,"THE STUDY OF DIGITAL ECONOMIES AND THE SOCIOLOGY OF RISK HAVE, WITH FEW EXCEPTIONS, A RELATIONSHIP OF BENIGN MUTUAL NEGLECT DESPITE POSSIBLE IMPORTANT CONNECTIONS BETWEEN THE TWO. THIS ARTICLE AIMS TO BRIDGE THE GAP BETWEEN THESE TWO FIELDS USING BECK'S THEORY OF RISK SOCIETY TO EXPLORE HOW THE DIGITAL ECONOMY'S MOMENTUM OF INNOVATION IS GENERATING RISKS AND LIMITING THE SCOPE OF EXISTING DEMOCRATIC DECISION-MAKING VIA THE POWER OF THE DIGITAL ECONOMY TO CREATE SOCIAL FAITS ACCOMPLIS OUTSIDE OF DEMOCRATIC CONTROL. THREE SPECIFIC RISKS EMERGING FROM THE DYNAMICS OF INNOVATION OF DIGITAL ECONOMIES ARE DISCUSSED AS VIGNETTES TO ILLUSTRATE THESE DEVELOPMENTS: (1) THE REMAKING OF INTERPERSONAL CO-PRESENCE AND SOLITARY LIFE (2) THE GROWING THREATS OF AI TO INTENSIFY UNEMPLOYMENT AND INEQUALITY AND (3) THE IMPACT ON THE ENVIRONMENT OF AN ALWAYS ON' AND ALWAYS UPGRADING' DIGITAL COMMUNICATION ECOSYSTEM. WITH THE GAP BETWEEN THE POTENTIAL AND THE ACTUAL USE VALUE OF THE DIGITALIZATION OF THE INFRASTRUCTURE OF LIFE CONTINUING TO GROW, THIS ARTICLE ARGUES THAT A DIFFERENT RELATIONSHIP BETWEEN DIGITAL INNOVATION AND PRIVATE AND PUBLIC SPHERES NEEDS TO BE ESTABLISHED TO PROTECT THE EFFECTIVENESS OF CONTEMPORARY DEMOCRACY.","0",0,"0","0","0","0","1368-4310","1461-7137","ISI000430021200005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"CURRAN DEAN, 2018, "
"KESNER ADAM, 2018, ","J","KESNER ADAM;LAFOREST RICHARD;OTAZO RICARDO;JENNIFER KWAK;PAN TINSU","MEDICAL IMAGING DATA IN THE DIGITAL INNOVATION AGE","MEDICAL PHYSICS","45","4",NA,"E40","E52","10.1002/MP.12794","APR 2018",2018,"AS WE REFLECT ON DECADES OF EXPONENTIAL ADVANCEMENTS IN ELECTRONIC INNOVATION, WE CAN SEE THE FIELD OF MEDICAL IMAGING ECLIPSED BY A NEW DIGITAL LANDSCAPE ONE THAT IS INEXPENSIVE, FAST, AND POWERFUL. THIS NEW PARADIGM PRESENTS NEW OPPORTUNITIES TO INNOVATE IN BOTH RESEARCH AND CLINICAL SETTINGS. IN THIS ARTICLE, WE REVIEW THE CURRENT ROLE OF DATA: THE COMMON PERCEPTIONS AROUND ITS VALUATION AND THE INFRASTRUCTURE CURRENTLY IN PLACE FOR DATA-DRIVEN INNOVATION. LOOKING FORWARD, WE CONSIDER WHAT HAS ALREADY BEEN ACHIEVED USING MODERNDATACAPACITIES, THE OPPORTUNITIES WE HAVE FOR FURTHER EXPANSION IN THIS AREA, AND THE OBSTACLES WE WILL NEED TO TRANSCEND.","0",0,"0","0","0","0","0094-2405","2473-4209","ISI000430182300001","","29405298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"KESNER ADAM, 2018, "
"TATE MARY, 2018, ","J","TATE MARY;BONGIOVANNI IVANO;KOWALKIEWICZ MAREK;TOWNSON PETER","MANAGING THE ""FUZZY FRONT END"" OF OPEN DIGITAL SERVICE INNOVATION IN THE PUBLIC SECTOR: A METHODOLOGY","INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","39",NA,NA,"186","198","10.1016/J.IJINFOMGT.2017.11.008","APR 2018",2018,"THERE ARE MANY OBSTACLES TO EFFECTIVE OPEN INNOVATION IN THE PUBLIC SECTOR CONTEXT, ESPECIALLY AT THE ""FUZZY FRONT END"" (FFE), WHERE THE NEED OR OPPORTUNITY IS KNOWN BUT SERIOUS RESOURCES HAVE NOT YET BEEN COMMITTED TO POSSIBLE SOLUTIONS. IN THIS PAPER, WE REPORT ON A THEORETICALLY INSPIRED AND PRACTICALLY TESTED METHODOLOGY FOR FFE PUBLIC SECTOR DIGITAL INNOVATION. THE METHODOLOGY WAS PURPOSE-BUILT FOR THE CONTEXT AND HAS BEEN PROGRESSIVELY REFINED USING REFLECTION-ON-PRACTICE, BUT BROADLY CONSISTS OF A HYBRID OF PRIVATE SECTOR OPEN INNOVATION PRACTICES, AND AGILE SOFTWARE DEVELOPMENT PROCESSES. WE OUTLINE THE BACKGROUND, CONTEXT, PRINCIPLES, STAGES AND ARTEFACTS. THEN WE EVALUATE THE METHOD IN TERMS OF BARRIERS AND OPPORTUNITIES TO FFE PUBLIC SECTOR INNOVATION. WE NOTE THAT ESTABLISHING THE NECESSARY CONTEXT: A NURTURING ENVIRONMENT CROSS-AGENCY COMMITMENTS IN CASH AND IN KIND AND BOUNDARY SPANNING APPOINTMENTS, IS AS IMPORTANT TO SUCCESS AS IS THE DETAILED EXECUTION OF THE METHOD.","0",0,"0","0","0","0","0268-4012","1873-4707","ISI000427763900017","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"TATE MARY, 2018, "
"INKSTER BECKY, 2018, ","J","INKSTER BECKY","PROCEEDINGS FROM THE DIGITAL INNOVATION IN MENTAL HEALTH CONFERENCE, LONDON, 2017","BIOMEDICAL INFORMATICS INSIGHTS","10",NA,NA,NA,NA,"10.1177/1178222618764732","MAR 28 2018",2018,"AIMS AND SCOPE: THE CONFERENCE AIMS WERE TWO-FOLD: (1) TO EXPLORE HOW DIGITAL TECHNOLOGY IS IMPLEMENTED INTO PERSONALIZED AND/OR GROUP MENTAL HEALTH INTERVENTIONS AND (2) TO PROMOTE DIGITAL EQUALITY THROUGH DEVELOPING CULTURALLY SENSITIVE WAYS OF BRINGING TECHNOLOGICAL INNOVATION TO DISADVANTAGED GROUPS. A BROAD SCOPE OF PERSPECTIVES WERE WELCOMED AND ENCOURAGED, FROM LIVED EXPERIENCE, ACADEMIC, CLINICAL, MEDIA, THE ARTS, POLICY-MAKING, TECH INNOVATION, AND OTHER PERSPECTIVES.","0",0,"0","0","0","0","1178-2226",NA,"ISI000429151300001","","29623001","UNSP 1178222618764732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"INKSTER BECKY, 2018, "
"KAYSER VICTORIA, 2018, ","J","KAYSER VICTORIA;NEHRKE BASTIAN;ZUBOVIC DAMIR","DATA SCIENCE AS AN INNOVATION CHALLENGE: FROM BIG DATA TO VALUE PROPOSITION","TECHNOLOGY INNOVATION MANAGEMENT REVIEW","8","3",NA,"16","25","10.22215/TIMREVIEW/1143","MAR 2018",2018,"ANALYZING ""BIG DATA"" HOLDS HUGE POTENTIAL FOR GENERATING BUSINESS VALUE. THE ONGOING ADVANCEMENT OF TOOLS AND TECHNOLOGY OVER RECENT YEARS HAS CREATED A NEW ECOSYSTEM FULL OF OPPORTUNITIES FOR DATA-DRIVEN INNOVATION. HOWEVER, AS THE AMOUNT OF AVAILABLE DATA RISES TO NEW HEIGHTS, SO TOO DOES COMPLEXITY. ORGANIZATIONS ARE CHALLENGED TO CREATE THE RIGHT CONTEXTS, BY SHAPING INTERFACES AND PROCESSES, AND BY ASKING THE RIGHT QUESTIONS TO GUIDE THE DATA ANALYSIS. LIFTING THE INNOVATION POTENTIAL REQUIRES TEAMING AND FOCUS TO EFFICIENTLY ASSIGN AVAILABLE RESOURCES TO THE MOST PROMISING INITIATIVES. WITH REFERENCE TO THE INNOVATION PROCESS, THIS ARTICLE WILL CONCENTRATE ON ESTABLISHING A PROCESS FOR ANALYTICS PROJECTS FROM FIRST IDEAS TO REALIZATION (IN MOST CASES: A RUNNING APPLICATION). THE QUESTION WE TACKLE IS: WHAT CAN THE PRACTICAL DISCOURSE ON BIG DATA AND ANALYTICS LEARN FROM INNOVATION MANAGEMENT? THE INSIGHTS PRESENTED IN THIS ARTICLE ARE BUILT ON OUR PRACTICAL EXPERIENCES IN WORKING WITH VARIOUS CLIENTS. WE WILL CLASSIFY ANALYTICS PROJECTS AS WELL AS DISCUSS COMMON INNOVATION BARRIERS ALONG THIS PROCESS.","0",0,"0","0","0","0","1927-0321",NA,"ISI000429427700003","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"KAYSER VICTORIA, 2018, "
"HERRMANN MAXIMILIAN, 2018, ","J","HERRMANN MAXIMILIAN;BOEHME PHILIP;MONDRITZKI THOMAS;EHLERS JAN P;KAVADIAS STYLIANOS;TRUEBEL HUBERT","DIGITAL TRANSFORMATION AND DISRUPTION OF THE HEALTH CARE SECTOR: INTERNET-BASED OBSERVATIONAL STUDY","JOURNAL OF MEDICAL INTERNET RESEARCH","20","3",NA,NA,NA,"10.2196/JMIR.9498","MAR 2018",2018,"BACKGROUND: DIGITAL INNOVATION, INTRODUCED ACROSS MANY INDUSTRIES, IS A STRONG FORCE OF TRANSFORMATION. SOME INDUSTRIES HAVE SEEN FASTER TRANSFORMATION, WHEREAS THE HEALTH CARE SECTOR ONLY RECENTLY CAME INTO FOCUS. A CONTEXT WHERE DIGITAL CORPORATIONS MOVE INTO HEALTH CARE, PAYERS STRIVE TO KEEP RISING COSTS AT BAY, AND LONGER-LIVING PATIENTS DESIRE CONTINUOUSLY IMPROVED QUALITY OF CARE POINTS TO A DIGITAL AND VALUE-BASED TRANSFORMATION WITH DRASTIC IMPLICATIONS FOR THE HEALTH CARE SECTOR. OBJECTIVE: WE TRIED TO OPERATIONALIZE THE DISCUSSION WITHIN THE HEALTH CARE SECTOR AROUND DIGITAL AND DISRUPTIVE INNOVATION TO IDENTIFY WHAT TYPE OF TECHNOLOGICAL ENABLERS, BUSINESS MODELS, AND VALUE NETWORKS SEEM TO BE EMERGING FROM DIFFERENT GROUPS OF INNOVATORS WITH RESPECT TO THEIR DIGITAL TRANSFORMATIONAL EFFORTS. METHODS: FROM THE FORBES 2000 AND CBINSIGHTS DATABASES, WE IDENTIFIED 100 LEADING TECHNOLOGY, LIFE SCIENCE, AND START-UP COMPANIES ACTIVE IN THE HEALTH CARE SECTOR. FURTHER ANALYSIS IDENTIFIED PROJECTS FROM THESE COMPANIES WITHIN A DIGITAL CONTEXT THAT WERE SUBSEQUENTLY EVALUATED USING THE FOLLOWING CRITERIA: DELIVERY OF PATIENT VALUE, PRESENCE OF A COMPREHENSIVE AND DISTINCTIVE UNDERLYING BUSINESS MODEL, SOLUTIONS PROVIDED, AND CUSTOMER NEEDS ADDRESSED. RESULTS: OUR METHODOLOGICAL APPROACH RECORDED MORE THAN 400 PROJECTS AND COLLABORATIONS. WE IDENTIFIED PATTERNS THAT SHOW ESTABLISHED CORPORATIONS RELY MORE ON INCREMENTAL INNOVATION THAT SUPPORTS THEIR CURRENT BUSINESS MODELS, WHILE START-UPS ENGAGE THEIR FLEXIBILITY TO EXPLORE NEW MARKET SEGMENTS WITH NOTABLE TRANSFORMATIONS OF ESTABLISHED BUSINESS MODELS. THEREBY, START-UPS OFFER HIGHER PROMISES OF DISRUPTIVE INNOVATION. ADDITIONALLY, START-UPS OFFER MORE DIVERSIFIED VALUE PROPOSITIONS ADDRESSING BROADER AREAS OF THE HEALTH CARE SECTOR. CONCLUSIONS: DIGITAL TRANSFORMATION IS AN OPPORTUNITY TO ACCELERATE HEALTH CARE PERFORMANCE BY LOWERING COST AND IMPROVING QUALITY OF CARE. AT AN ECONOMIC SCALE, BUSINESS MODELS CAN BE STRENGTHENED AND DISRUPTIVE INNOVATION MODELS ENABLED. CORPORATIONS SHOULD LOOK FOR COLLABORATIONS WITH START-UP COMPANIES TO KEEP INVESTMENT COSTS AT BAY AND OFF THE BALANCE SHEET. AT THE SAME TIME, THE REGULATORY KNOWLEDGE OF ESTABLISHED CORPORATIONS MIGHT HELP START-UPS TO KICK OFF DIGITAL DISRUPTION IN THE HEALTH CARE SECTOR.","0",0,"0","0","0","0","1438-8871",NA,"ISI000428984300001","","29588274","E104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"HERRMANN MAXIMILIAN, 2018, "
"TYFIELD DAVID, 2018, ","J","TYFIELD DAVID","INNOVATING INNOVATION-DISRUPTIVE INNOVATION IN CHINA AND THE LOW-CARBON TRANSITION OF CAPITALISM","ENERGY RESEARCH & SOCIAL SCIENCE","37",NA,NA,"266","274","10.1016/J.ERSS.2017.10.024","MAR 2018",2018,"DISRUPTIVE INNOVATION OFFERS SIGNIFICANT PROMISE REGARDING EXPEDITED GLOBAL LOW-CARBON TRANSITION, SET AGAINST CURRENTLY INADEQUATE EFFORTS. IN ORDER TO APPRECIATE ITS SIGNIFICANCE, HOWEVER, DISRUPTIVE LOW-CARBON INNOVATION MUST BE ANALYSED IN THE LIGHT OF THREE KEY SHIFTS IN PERSPECTIVE: TO AN ANALYSIS OF SYSTEM TRANSITION AND LOW-CARBON INNOVATION ITSELF IN TERMS OF POWER/KNOWLEDGE TO APPRAISAL OF THE SIGNIFICANCE OF DIGITAL INNOVATION (SIMILARLY RECONCEPTUALISED) AND ITS EMBRYONIC CONVERGENCE WITH DISRUPTIVE INNOVATION AND TO A GEOGRAPHICAL FOCUS ON INNOVATION HAPPENING NOT (JUST) IN LOCATIONS USUALLY PRESUMED AS LEADING IN HI-TECH, BUT TO DEVELOPING COUNTRIES AND ESPECIALLY CHINA. INDEED, EXPLORING DISRUPTIVE INNOVATION IN THIS WAY SHOWS THAT ASSENTING TO THE COMMONPLACE DISCOURSE THROUGH WHICH SILICON VALLEY TECH INNOVATION IS IDENTIFIED AS 'DISRUPTIVE' IS TO CONFLATE PROBLEM WITH SOLUTION. CONVERSELY, THIS APPROACH SHOWS JUST HOW SIGNIFICANT DISRUPTIVE INNOVATION IS LIKELY TO PROVE TO LOW-CARBON TRANSITION, EFFECTING A DISRUPTION OF INNOVATION ITSELF, AND THENCE OF CAPITALISM, FROM WHICH ANY SUCH TRANSITION MUST ULTIMATELY EMERGE.","0",0,"0","0","0","0","2214-6296","2214-6326","ISI000425249400031","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"TYFIELD DAVID, 2018, "
"CARDULLO PAOLO, 2018, ","J","CARDULLO PAOLO;KITCHIN ROB;DI FELICIANTONIO CESARE","LIVING LABS AND VACANCY IN THE NEOLIBERAL CITY","CITIES","73",NA,NA,"44","50","10.1016/J.CITIES.2017.10.008","MAR 2018",2018,"THIS PAPER EVALUATES SMART CITY (SC) INITIATIVES IN THE CONTEXT OF RE-USING VACANT PROPERTY, FOCUSING ON THE ROLE OF LIVING LABS (LL). LL UTILISE LO-FI TECHNOLOGIES TO FOSTER LOCAL DIGITAL INNOVATION AND SUPPORT COMMUNITY-FOCUSED CIVIC HACKING, RUNNING VARIOUS KINDS OF WORKSHOPS AND ENGAGING WITH LOCAL CITIZENS TO CO-CREATE DIGITAL INTERVENTIONS AND APPS AIMED AT 'SOLVING' LOCAL ISSUES. FIVE APPROACHES TO LL ARE OUTLINED AND DISCUSSED IN RELATION TO VACANCY AND GENTRIFICATION: POP-UP INITIATIVES, UNIVERSITY-LED ACTIVITIES, COMMUNITY ORGANISED VENUES/ACTIVITIES, CITIZEN SENSING AND CROWDSOURCING, AND TECH-LED REGENERATION INITIATIVES. NOTWITHSTANDING THE POTENTIAL FOR GENERATING TEMPORARY AND INDEPENDENT SPACES FOR TRANSFERRING DIGITAL COMPETENCES AND INCREASING CITIZENS' PARTICIPATION IN THE SC, WE ARGUE LL FOSTER LARGELY A FORM OF PARTICIPATION FRAMED WITHIN A MODEL OF CIVIC STEWARDSHIP FOR 'SMART CITIZENS'. WHILE PRESENTED AS HORIZONTAL, OPEN, AND PARTICIPATIVE, LL AND CIVIC HACKING ARE ROOTED OFTEN IN PRAGMATIC AND PATERNALISTIC DISCOURSES AND PRACTICES RELATED TO THE PRODUCTION OF A CREATIVE ECONOMY AND A TECHNOCRATIC VERSION OF SC. AS SUCH, BY ENCOURAGING A PARTICULAR KIND OF RE-USE OF VACANT SPACE, LLS ARE USED ACTIVELY TO BOLSTER THE SMART CITY DISCOURSE, AS PART OF THE MORE GENERAL NEOLIBERALIZATION OF URBAN POLITICAL ECONOMY. WE DISCUSS THESE APPROACHES AND ISSUES GENERALLY, DRAWING ON PREVIOUS FIELDWORK AND WITH RESPECT TO A CASE STUDY OF DUBLIN, IRELAND.","0",0,"0","0","0","0","0264-2751","1873-6084","ISI000425205600005","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"CARDULLO PAOLO, 2018, "
"MSISKA BROWN, 2018, ","J","MSISKA BROWN;NIELSEN PETTER","INNOVATION IN THE FRINGES OF SOFTWARE ECOSYSTEMS: THE ROLE OF SOCIO-TECHNICAL GENERATIVITY","INFORMATION TECHNOLOGY FOR DEVELOPMENT","24","2",NA,"398","421","10.1080/02681102.2017.1400939","2018",2018,"UNDERSTANDING THE WAY INFORMATION SYSTEMS GROW AND CHANGE OVER TIME AND THE ROLE OF DIFFERENT CONTRIBUTORS IN THESE PROCESSES IS CENTRAL TO CURRENT RESEARCH ON SOFTWARE DEVELOPMENT AND INNOVATION. IN RELATION TO THIS, THERE IS AN ONGOING DISCOURSE ON HOW THE ATTRIBUTES OF SOFTWARE PLATFORMS INFLUENCE WHO CAN INNOVATE ON TOP OF THEM AND THE KIND OF INNOVATIONS POSSIBLE WITHIN THE LARGER ECOSYSTEM OF TECHNOLOGIES AND PEOPLE THESE PLATFORMS ARE PART OF. THIS DISCOURSE HAS PAID LIMITED ATTENTION TO INNOVATION UNFOLDING IN THE FRINGES OF THE ECOSYSTEMS PERIPHERAL TO AND DISCONNECTED FROM WHERE THE CENTRAL SOFTWARE COMPONENTS ARE DEVELOPED AND WHERE THE RESOURCES NECESSARY FOR DIGITAL INNOVATION ARE SCARCE. DRAWING UPON ZITTRAIN'S CHARACTERISTICS OF GENERATIVITY AND LANE'S CONCEPT OF GENERATIVE RELATIONSHIPS, THE KEY CONTRIBUTION OF THIS PAPER IS A SOCIO-TECHNICAL PERSPECTIVE ON INNOVATION AND GENERATIVITY IN THIS SETTING. WE BUILD THIS PERSPECTIVE OF SOCIO-TECHNICAL GENERATIVITY BASED ON A CASE STUDY OF SOFTWARE INNOVATION ACTIVITIES IN MALAWI ON TOP OF THE HEALTH INFORMATION SYSTEM SOFTWARE PLATFORM DHIS2 DEVELOPED IN NORWAY. THIS CASE ILLUSTRATES HOW THE TECHNICAL ATTRIBUTES OF THE PLATFORM PLAYED A KEY ROLE IN CONCERT WITH HUMAN RELATIONSHIPS IN SHAPING INNOVATION ACTIVITIES IN MALAWI.","0",0,"0","0","0","0","0268-1102","1554-0170","ISI000428580400010","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"MSISKA BROWN, 2018, "
"LALICIC LIDIJA, 2018, ","J","LALICIC LIDIJA;WEISMAYER CHRISTIAN","BEING PASSIONATE ABOUT THE MOBILE WHILE TRAVELLING","CURRENT ISSUES IN TOURISM","21","8",NA,"950","963","10.1080/13683500.2016.1141179","2018",2018,"PEOPLE INTERPRET THE AVAILABILITY OF THEIR MOBILE PHONE SIMILAR TO THEIR PERSONAL (SOCIAL) RELATIONSHIPS (FRIENDS, FAMILY, AND PETS). HENCE, MOBILE PHONES ARE APPLIANCES THAT PROVIDE CONTINUOUS FUNCTIONAL AND EMOTIONAL SUPPORT. ALSO, IN THE FIELD OF TOURISM, THE INTEGRATED USE OF MOBILE PHONES IS INDICATED BY WORDS SUCH AS CATALYST' AND TRAVEL BUDDIES', ENHANCING TOURISTS' EXPERIENCES. THIS STUDY GOES ONE STEP FURTHER BY INCORPORATING THE CONCEPT OF PASSION AND AFFECTIVE OUTCOMES OF USING THE MOBILE PHONE WHILE TRAVELLING. PERCEIVED SOCIALNESS OF THE MOBILE PHONE SIGNIFICANTLY EFFECTS PASSIONATE BEHAVIOUR AND AFFECTIVE OUTCOMES. FOR PRACTITIONERS AIMING FOR DIGITAL INNOVATION IN THE FIELD OF TOURISM, THESE FINDINGS PROVIDE INSIGHT INTO THE DEVELOPMENT OF TAILOR-MADE TRAVEL-RELATED APPLICATIONS. FURTHERMORE, AFFECTIVE FEELINGS DERIVED FROM MOBILE PHONE USAGE WILL BE ENHANCED BY EFFECTIVE TRAVEL-RELATED APPLICATIONS ENCOURAGING THE MODERN TOURISTS WHILE TRAVELLING.","0",0,"0","0","0","0","1368-3500","1747-7603","ISI000428292200009","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISI",NA,NA,"LALICIC LIDIJA, 2018, "
