"","entry.type","abstract","address","affiliation","article.number","author","author.email","book.author","book.group.author","booktitle","cited.references","da","doc.delivery.number","doi","editor","eissn","funding.acknowledgement","funding.text","isbn","issn","journal","journal.iso","keywords","keywords.plus","language","meeting","month","note","number","number.of.cited.references","oa","orcid.numbers","organization","pages","publisher","research.areas","researcherid.numbers","series","times.cited","title","type","unique.id","usage.count.last.180.days","usage.count.since.2013","volume","web.of.science.categories","year"
"166","article","the perching foot of living birds is commonly characterized by a reversed or opposable digit i (hallux). primitively, the hallux of nonavian theropod dinosaurs was unreversed and lay parallel to digits ii-iv. among basal birds, a unique digital innovation evolved in which the hallux opposes digits ii-iv. this digital configuration is critical for grasping and perching. i studied skeletons of modern birds with a range of hallucal designs, from unreversed (anteromedially directed) to fully reversed (posteriorly directed). two primary correlates of hallucal orientation were revealed. first, the fossa into which metatarsal i articulates is oriented slightly more posteriorly on the tarsometatarsus, rotating the digit as a unit. second, metatarsal i exhibits a distinctive torsion of its distal shaft relative to its proximal articulation with the tarsometatarsus, reorienting the distal condyles and phalanges of digit i. herein, i present a method that facilitates the re-evaluation of hallucal orientation in fossil avians based on morphology alone. this method also avoids potential misinterpretations of hallucal orientation in fossil birds that could result from preserved appearance alone. (c) 2001 wiley-liss, inc.","commerce place, 350 main st, malden 02148, ma usa","middleton, km (reprint author), brown univ, dept ecol \& evolutionary biol, box g-w, providence, ri 02912 usa.;   brown univ, dept ecol \& evolutionary biol, providence, ri 02912 usa.",NA,"middleton, km","kevin\_middleton@brown.edu",NA,NA,NA,"baumel julian j., 1993, publications of the nuttall ornithological club, v23, p45.;   baumel julian j., 1993, publications of the nuttall ornithological club, v23, p133.;   bock walter j., 1959, amer mus novitates, v1931, p1.;   bock w, 1986, mem calif acad sci, v8, p57.;   chiappe luis m., 1999, bulletin of the american museum of natural history, v242, p1.;   feduccia a., 1996, origin evolution bir.;   felsenstein j, 1985, am nat, v125, p1, doi 10.1086/284325.;   forster ca, 1998, science, v279, p1915, doi 10.1126/science.279.5358.1915.;   garland t, 1993, j zool, v229, p133, doi 10.1111/j.1469-7998.1993.tb02626.x.;   garland t, 1992, syst biol, v41, p18, doi 10.2307/2992503.;   gatesy sm, 1996, evolution, v50, p2037, doi 10.1111/j.1558-5646.1996.tb03590.x.;   gatesy sm, 1996, evolution, v50, p331, doi 10.1111/j.1558-5646.1996.tb04496.x.;   gatesy sm, 1997, j vertebr paleontol, v17, p308, doi 10.1080/02724634.1997.10010977.;   gatesy sm, 1999, nature, v399, p141, doi 10.1038/20167.;   george jc, 1966, avian myology.;   hecht m. k., 1985, beginnings birds.;   hou lh, 1999, nature, v399, p679, doi 10.1038/21411.;   hou lh, 1996, science, v274, p1164, doi 10.1126/science.274.5290.1164.;   hou lh, 1995, nature, v377, p616, doi 10.1038/377616a0.;   lauder gv, 1989, life sci r, v45, p63.;   markert cl, 1975, science, v189, p102, doi 10.1126/science.1138367.;   martin l.d., 1991, p485.;   marzke mw, 1997, am j phys anthropol, v102, p91.;   monroe jr bl, 1993, world checklist bird.;   moya-sola s, 1999, p natl acad sci usa, v96, p313, doi 10.1073/pnas.96.1.313.;   norell mark a., 1997, american museum novitates, v3215, p1.;   ohno s., 1970, evolution gene dupli.;   osborn hf, 1906, b am mus nat hist, v22, p281.;   osborn h. f., 1899, b am mus nat hist, v12, p161.;   ostrom j h, 1978, zitteliana, v4, p73.;   ostrom j. h., 1969, bulletin of the peabody museum of natural history, vno. 30, p1.;   ostrom jh, 1976, biol j linn soc, v8, p91, doi 10.1111/j.1095-8312.1976.tb00244.x.;   padian k, 1998, biol rev, v73, p1, doi 10.1017/s0006323197005100.;   proctor n., 1993, manual ornithology.;   raikow r.j., 1985, p57.;   reichenow a, 1871, j ornithol, v19, p401.;   ruben jh, 1997, science, v268, p1267.;   sanz j. l., 1992, papers avian paleont, p39.;   sanz jose l., 1995, american museum novitates, v3133, p1.;   sereno pc, 1992, science, v255, p845, doi 10.1126/science.255.5046.845.;   shubin n, 1997, nature, v388, p639, doi 10.1038/41710.;   tabin cj, 1992, development, v116, p289.;   tarsitano s, 1980, zool j linn soc-lond, v69, p149, doi 10.1111/j.1096-3642.1980.tb01936.x.;   tarsitano sf, 1981, thesis city u new yo.;   wellnhofer p., 1974, palaeontographica abt a, v147, p169.;   wellnhofer p, 1992, archaeopteryx, p1.;   wellnhofer p., 1991, illustrated ency pte.;   zhou zhonghe, 1995, vertebrata palasiatica, v33, p99.","2018-05-07","477cy","10.1002/jmor.1058",NA,NA,NA,NA,NA,"0362-2525","journal of morphology","j. morphol.","aves; digital reversion; grasping; foot morphology; hallux; opposition;;   perching","early evolution; avian flight; china; hand; archaeopteryx; fossils;;   origin; genes; limbs","english",NA,"oct",NA,"1","48",NA,"middleton, kevin/0000-0003-4704-1064",NA,"51-60","wiley-blackwell","anatomy \& morphology",NA,NA,"22","the morphological basis of hallucal orientation in extant birds","article","isi:000171266600005","3","14","250","anatomy \& morphology","2001"
"165","inproceedings","the imed-la or interactive multimedia education at a distance linear algebra is the ongoing international joint project by the collaboration of the japan team currently consisting of five members and the center for digital innovation (cdi) of the university of california at los angeles (ucla) headed by director maha ashour-abdalla. the project started in july, 1999. its goal is the production of virtual university content in linear algebra, intended primarily for graduate students and working students who need a fast-paced study of the basic facts from linear algebra; hence the content can also effectively be used by the beginning college students under a proper guidance from the teacher. our partially completed content is already available on the internet at the following url: http://www.cdi.ucla.edu/iinearalgebra. this internet course has several special features worth mentioning: in its approach to the subject matter, the topics selected, the way and style the exercises are supported and the provision of the philosophical or historical notes for encouraging the learners or opening up new horizons for them. at the same time no mathematical rigor is sacrificed and a high level of standard is maintained. it is our pleasure to state that, thanks to our collaboration, the japan team mainly providing authoring and the ucla team the needed it and project management expertise, the project has been enjoying a steady progress and the both teams are gaining valuable practical experiences. at the present this project is probably only one of its kind as an international joint virtual university content production project between japanese and us universities. in this paper we will discuss the content under construction, the needed it support and the project management technology being employed. for the activities of the cdi/ucla, see their home page: http://www.cdi.ucla.edu.","37-3, hongo 3-chome bonkyo-ku, tokyo, 113, japan","ikebe, y (reprint author), univ aizu, aizu wakamatsu, japan.;   univ aizu, aizu wakamatsu, japan.",NA,"ikebe, y and cai, ds and miyazaki, y and asai, n and kikuchi, y and ashour-abdalla, m",NA,NA,NA,"enabling society with information technology","ikebe y, 2000, information, v3, p89.;   ikebe y, 2000, hum comp sci act gro, p49.;   katz r. n., 1999, dancing devil inform.;   meister j. c., 1998, corporate u lessons.;   miyazaki y, interim assessment i.;   {*}nat ed ass, 2000, nea 2000 almanac hig.;   2000, petersons guide 2000.","2018-05-07","bu21p",NA,"jin, q and li, j and zhang, n and cheng, j and yu, c and noguchi, s",NA,NA,NA,"4-431-70327-6",NA,NA,NA,"interactive multimedia education; content production; virtual;   university; linear algebra; distance education",NA,"english",NA,NA,"international conference on the information society in the 21st century,;   aizu wakamatsu, japan, nov 05-08, 2000",NA,"7",NA,NA,NA,"295-305","springer-verlag tokyo","computer science; robotics",NA,NA,"0","``interactive multimedia education at a distance-linear algebra;   (imed-la){''}: its present status and special features of its content","proceedings paper","isi:000175363700029","0","4",NA,"computer science, artificial intelligence; computer science, information;   systems; computer science, interdisciplinary applications; robotics","2002"
"163","article",NA,"rankine rd, basingstoke rg24 8pr, hants, england","wong, s (reprint author), univ penn, philadelphia, pa 19104 usa.;   univ penn, philadelphia, pa 19104 usa.",NA,"wong, s",NA,NA,NA,NA,"passiante g, 2003, digital innovation i.","2018-05-07","887ga",NA,NA,NA,NA,NA,NA,"0034-3404","regional studies","reg. stud.",NA,NA,"english",NA,"feb",NA,"1","1",NA,NA,NA,"158-159","carfax publishing","business \& economics; environmental sciences \& ecology; geography",NA,NA,"0","digital innovation: innovation processes in virtual clusters and digital;   regions","book review","isi:000226292500014","4","13","39","economics; environmental studies; geography","2005"
"164","article","at the kyoto university center for information and multimedia studies, progress is being made with tide (trans-pacific interactive distance education), a distance learning project which links kyoto university and ucla in real time through cooperation between the university of california at los angeles's digital innovation center and ntt. in this paper the authors report on a distance learning system that takes advantage of the tide project. during the creation of their system, the information exchanged among the lecture participants is first classified into five categories, then the function classes necessary to exchange the various types of information between the classroom and remote locations are assembled into six classes. as a result, 30 functional elements are needed for the distance learning system. in the system reported on in this paper, the authors classify the functional elements into eight subsystems based on network bandwidth and various restrictions. the authors also report on the technology requirements for each subsystem, in addition to the system structure. (c) 2005 wiley periodicals, inc.","605 third ave, new york, ny 10158 usa","yagi, k (reprint author), kyoto univ, ctr informat \& media studies, kyoto 6068501, japan.;   kyoto univ, ctr informat \& media studies, kyoto 6068501, japan.",NA,"yagi, k and kameda, y and nakamura, m and mihoh, m",NA,NA,NA,NA,"asami t, 1999, inf process, v40, p708.;   ashourabdalla m, 1998, unesco worksh tools.;   boyles h, p apan 2000 beij, p1.;   {*}itrc, 6 itrc.;   johnson ah, 1997, windows magazine oct.;   mihoh m, 1999, 58 nat c inf proc so.;   mizugawa s, 2000, ntt tech j       feb, p24.;   murakami m, 2000, et99104 ieice.;   {*}tosh pers comp sy, 2000, softb us guid.;   yokomori m, 1999, ntt r d, v48.;   1999, zdnet rev        aug.","2018-05-07","901zv","10.1002/ecjb.20160",NA,NA,NA,NA,NA,"8756-663x","electronics and communications in japan part ii-electronics","electron. commun. jpn. pt. ii-electron.","international distance education; mpeg2 codec; automatic imaging camera;;   digital educational materials; ip over atm",NA,"english",NA,NA,NA,"3","11",NA,NA,NA,"53-62","scripta technica-john wiley \& sons","engineering",NA,NA,"0","a novel distance learning system for the tide project","article","isi:000227321800007","0","1","88","engineering, electrical \& electronic","2005"
"162","inproceedings",NA,"6000 broken sound parkway nw, ste 300, boca raton, fl 33487-2742 usa","wheeler, qd (reprint author), nat hist museum, dept entomol, cromwell rd, london sw7 5bd, england.;   nat hist museum, dept entomol, london sw7 5bd, england.",NA,"wheeler, quentin d.",NA,NA,NA,"automated taxon identification in systematics: theory, approaches and;   applications","atkins d., 2003, revolutionizing sci.;   blaxter ml, 2004, philos t roy soc b, v359, p669, doi 10.1098/rstb.2003.1447.;   calman wt, 1930, taxonomic outlook zo, p1.;   cracraft j, 2002, ann mo bot gard, v89, p127, doi 10.2307/3298558.;   edwards j, 2003, bioscience, v54, p485.;   gaston kj, 2004, philos t roy soc b, v359, p655, doi 10.1098/rstb.2003.1442.;   gramling c, 2005, science, v310, p1751.;   hennig w., 1966, phylogenetic systema.;   {*}hous lords, 2001, 118 hous lords.;   miller dr, 1995, bioscience, v45, p680, doi 10.2307/1312673.;   page lm, 2005, linne legacy infrast.;   prendini l, 2005, can j zool, v83, p498, doi 10.1139/z05-025.;   raven ph, 2004, philos t roy soc b, v359, p729, doi 10.1098/rstb.2004.1462.;   scoble mj, 2004, philos t roy soc b, v359, p699, doi 10.1098/rstb.2003.1456.;   simpson gg, 1945, b am mus nat hist, v85, p350.;   simpson gg, 1961, principles animal ta.;   soberon j, 2004, philos t r soc b, v359, p689, doi 10.1098/rstb.2003.1439.;   tautz d, 2003, trends ecol evol, v18, p70, doi 10.1016/s0169-5347(02)00041-1.;   timofeeff-ressovsky n. w., 1940, the new systematics oxford, p73.;   wheeler q. d., 2005, graellsia, v61, p151.;   wheeler qd, 2005, cladistics, v21, p405, doi 10.1111/j.1096-0031.2005.00075.x.;   wheeler qd, 2004, philos t roy soc b, v359, p571, doi 10.1097/rstb.2003.1452.;   wilson eo, 2003, trends ecol evol, v18, p77, doi 10.1016/s0169-5347(02)00040-x.;   wilson e.o., 1992, diversity life.;   wilson eo, 1985, issues sci techn fal, p29.;   mea-millennium ecosystem assessment, 2005, ec hum wellb biod sy.","2018-05-07","bhm00",NA,"macleod, n",NA,NA,NA,"978-0-8493-8205-5",NA,NA,NA,NA,"dna taxonomy; biodiversity; barcodes","english",NA,NA,"symposium on algorithmic approaches to the identification problem in;   systematics, nat history museum, london, england, aug   19, 2005",NA,"26",NA,NA,"systemat assoc; nat history museum","9-23","crc press-taylor \& francis group","anatomy \& morphology; life sciences \& biomedicine - other topics;;   computer science; zoology",NA,"systematics association special volume series","5","digital innovation and taxonomy's finest hour","proceedings paper","isi:000254211200002","1","3","74","anatomy \& morphology; biology; computer science, interdisciplinary;   applications; zoology","2007"
"161","article","the purpose of this paper is to launch a new platform for advocating three functions of paddies including economics, society and environment through the cross-field integration of the agricultural hydrology, information technology and children's picture book, which is novel. we translate literatures of paddy agriculture to popular content. scientific visualization is applied to develop digital value-added content for enhancing effects according to computer graphics technologies. for developing the internet channel, we take web-based architecture coupled with java3d and flash visualization as the main solution for engaging attention of virtual communities. with a web browser, we present paddy knowledge that is based on the above-mentioned popular content related to three functions of rice paddies. furthermore, for the general public, the tiled display wall is employed to build up a fixed-site channel. in this paper, the demonstration of promoting interest in paddy fields has been established. through exploring this digital paddy, not only children could be encouraged to learn, but also the public could accumulate the knowledge related to paddy agriculture.","tiergartenstrasse 17, d-69121 heidelberg, germany","kuo, cc (reprint author), natl ctr high performance comp, natl appl res lab, hsinchu, taiwan.;   kuo, c. c.; lai, c. l.; shiao, y. h.; shen, c. y., natl ctr high performance comp, natl appl res lab, hsinchu, taiwan.;   tsai, m. h., council agr, dept irrigat \& engn, taipei, taiwan.",NA,"kuo, c. c. and tsai, m. h. and lai, c. l. and shiao, y. h. and shen, c. y.","cckuo@nchc.org.tw",NA,NA,NA,"hoppe h, 1998, visualization `98, proceedings, p35, doi 10.1109/visual.1998.745282.;   hoppe h., 1997, p siggraph 97, p189, doi doi 10.1145/258734.258843.;   huang cp, 2001, 4 int c high perf co.;   kuo c.c., 2007, 4 int c irr drain sa.;   kuo cc, 2002, hydr 02 card.;   kuo cc, 2004, hydr 04 sing.;   lai h.t., 2005, sust man env funct p, p195.;   naylor bf, 1995, interactive playing, p107.;   timlin d., 1996, 2dsoil modular simul.;   woo m, 1997, opengl programming g, p19.;   wright r, 2000, opengl superbible ve.;   wu f.c., 2005, sust man env funct p, p1.","2018-05-07","v23ug","10.1007/s10333-008-0137-7",NA,"1611-2504",NA,NA,NA,"1611-2490","paddy and water environment","paddy water environ.","paddy agriculture; cross-field integration; real-time synchronization;;   virtual paddy",NA,"english",NA,"dec",NA,"4","12",NA,NA,NA,"415-422","springer heidelberg","agriculture",NA,NA,"2","digital innovation for promoting knowledge of paddy functions","article","isi:000208367100008","1","6","6","agricultural engineering; agronomy","2008"
"160","inproceedings","the digital innovation of transmitters is one of key technologies for digital sw \& mw broadcasting. aiming at the transmitters using eer(envelop elimination and restoration) technology, the paper discussed the key problems in digital innovation practice, and the conclusion of the effects on digital broadcasting signal quality of the problems are also provided based on specific simulations. a set of practical parameters based on a given engineering conditions are described in the end and the related simulation results of the output digital broadcasting signal quality is provided.","345 e 47th st, new york, ny 10017 usa","xu, wz (reprint author), commun univ china, engn ctr digital audio \& video, beijing, peoples r china.;   xu weizhang; yu xinle; lv rui; song dandan, commun univ china, engn ctr digital audio \& video, beijing, peoples r china.",NA,"xu weizhang and yu xinle and lv rui and song dandan","wzhxu@cuc.edu.cn",NA,NA,"proceedings of the 2009 2nd international congress on image and signal;   processing, vols 1-9","*}esti es, 2005, 201980 etsi es.;   {[}anonymous], 2005, 3022451 etsi en.;   farhad m, p 9 eur c wir techn.;   {*}ibiquity dig corp, 2005, 200503 ibiquity dig.;   sun qy, transmit technology.","2018-05-07","bqe82",NA,"qiu, ph and yiu, c and zhang, h and wen, xb",NA,NA,NA,"978-1-4244-4130-3",NA,NA,NA,"digital broadcasting; eer(envelop elimination and restoration);;   transmitter; matlab; mer(modulation error ratio); out-of-band emission",NA,"english",NA,NA,"2nd international congress on image and signal processing, tianjin,;   peoples r china, oct 17-19, 2009",NA,"5",NA,NA,"tianjin univ technol; ieee engn med \& biol soc","4962-4965","ieee","computer science; imaging science \& photographic technology;;   telecommunications",NA,NA,"0","the simulation of key technologies for eer adopted digital broadcast;   transmitter","proceedings paper","isi:000280804302359","0","2",NA,"computer science, artificial intelligence; imaging science \&;   photographic technology; telecommunications","2009"
"159","inproceedings","brief description: technology is remaking the world and changing the way human beings create, communicate, organize, share information, and learn. as a result of this sea change, our education system is at the beginning of a true revolution. this session provides a look at the changes beginning to emerge and a preview of what we think education can and will be in the future. overall description: what would public education look like if we invented it today? certainly it would embrace the many ways in which technology has transformed how we all create, communicate, organize, share information, and learn. today, with the power of technology, new integrated offerings and tools can unite teacher training and assessment, and online curriculum content for educators, parents and administrators to support and enrich today's generation of learners. in this presentation, fiona o'carroll, executive vice president for digital products research \& development at houghton mifflin harcourt, will provide a look at the trends taking shape in our education system and a glimpse of what the future of education can look like. key discussion points will include: how greater adoption of technology is opening new doors for tools that support the evolution of digital education. how digital platforms and curricula can provide cognitively rich, differentiated teaching and learning resources that boost personalized learning and increase student achievement. new possibilities for educators to enhance classroom content and collaboration, and make curricula available to all students and teachers from one central learning hub. integrating digital content as a learning tool across an entire school district, for example, teachers and students gain unlimited opportunities for focused, efficient instructions that connect and align resources to the district benchmarks. a true district-wide democratization of education can result. houghton mifflin harcourt is a global education leader and has been working with educators across the world to embrace the ways in which new technologies can change the way people learn and unlock every child's potential. the company's learning village portal, for example, enhances the teaching and learning experience by truly connecting educators to best practices, instructional strategies, lesson plans and resources for measurable student achievement. speech outline: introduction to houghton mifflin harcourt technology is a way of life a time of change and choice. the evolution in k-12 education is a reality key educational technology trends collaborative learning online communications tools cloud computing mobile technology smart objects personalization delivering interactive digital learning","lauri volpi 6, valenica, burjassot 46100, spain",NA,NA,"o'carroll, f.","ryan.wagner@fleishman.com",NA,NA,"4th international technology, education and development conference;   (inted 2010)",NA,"2018-05-07","bez08",NA,"chova, lg and belenguer, dm and torres, ic",NA,NA,NA,"978-84-613-5538-9",NA,NA,NA,"achievement; assessment collaboration; digital innovation",NA,"english",NA,NA,"4th international technology, education and development conference;   (inted), valencia, spain, mar 08-10, 2010",NA,"0",NA,NA,NA,"4541","iated-int assoc technology education \& development","education \& educational research",NA,NA,"0","2020 vision: the future of education through technology","proceedings paper","isi:000318805504052","1","10",NA,"education \& educational research","2010"
"158","inproceedings","on the basis of the concepts like the least common multiple period, the phase quantum and the group phase comparison between two signals with different frequencies, this paper explores a novel principle for pll. the application of this principle in the digital circuit innovation experiment of active hydrogen maser can simplify its frequency transformation circuits, reduce the noise brought in by those circuits and improve its performance.","345 e 47th st, new york, ny 10017 usa","sun, jt (reprint author), xidian univ, dept measurement \& instrument, xian, peoples r china.;   sun, jiangtao; zhou, wei; zhou, hainiu, xidian univ, dept measurement \& instrument, xian, peoples r china.",NA,"sun, jiangtao and zhou, wei and zhou, hainiu",NA,NA,"ieee","2010 ieee international frequency control symposium (fcs)","du bq, 2009, chinese phys lett, v26, doi 10.1088/0256-307x/26/7/070602.;   faxi c, 2009, p 2009 ieee freq con, p565.;   wang htm, 1989, p ieee, v77, p982, doi 10.1109/5.30750.;   wei z, 2008, p 2008 ieee freq con, p468.;   zhou wei, 1992, p 1992 ieee freq con, p270.","2018-05-07","btm93","10.1109/freq.2010.5556295",NA,NA,NA,NA,"978-1-4244-6401-2","1075-6787",NA,NA,NA,NA,"english",NA,NA,"2010 ieee international frequency control symposium, new port beach, ca,;   jun 01-04, 2010",NA,"5",NA,NA,"ieee","431-434","ieee","engineering; physics; telecommunications",NA,"ieee international frequency control symposium","0","a novel principle for pll and its application in digital innovation;   experiment of circuits in active hydrogen maser","proceedings paper","isi:000287378700090","1","2",NA,"engineering, electrical \& electronic; physics, applied;;   telecommunications","2010"
"157","article","the lack of plasticity of the medical profession and health care system in the face of new technology and information is about to be challenged on two major fronts in digital medicine: wireless technologies and genomics. these two areas have been characterized by unprecedented innovation and discovery at a breakneck pace. whereas the 2000s saw the introduction of digital life-style devices, the 2010s will probably be known as the era of digital medical devices. these devices have exceptional promise for changing the future of medicine because of their ability to produce exquisitely detailed individual biological and physiological data.","1200 new york ave, nw, washington, dc 20005 usa","topol, ej (reprint author), scripps res inst, scripps translat sci inst, la jolla, ca 92037 usa.;   topol, eric j., scripps res inst, scripps translat sci inst, la jolla, ca 92037 usa.;   topol, eric j., w wireless hlth inst, la jolla, ca 92037 usa.","16cm4","topol, eric j.","etopol@scripps.edu",NA,NA,NA,"christensen cm, 2009, innovators prescript.;   drmanac r, 2010, science, v327, p78, doi 10.1126/science.1181498.;   jencks sf, 2009, new engl j med, v360, p1418, doi 10.1056/nejmsa0803563.;   lohr s, 2009, ny times        1116.;   manolio ta, 2009, nature, v461, p747, doi 10.1038/nature08494.;   topol ej, 2007, jama-j am med assoc, v298, p218, doi 10.1001/jama.298.2.218.;   visscher pm, 2009, jama-j am med assoc, v302, p2028, doi 10.1001/jama.2009.1643.;   wolf g, 2009, wired mag.","2018-05-07","590yo","10.1126/scitranslmed.3000484",NA,NA,"nih {[}5 ul1 rr025774-02]","e.j.t. is supported by nih grant 5 ul1 rr025774-02.",NA,"1946-6234","science translational medicine","sci. transl. med.",NA,NA,"english",NA,"jan 27",NA,"16","8","gold","topol, eric/0000-0002-1478-4729",NA,NA,"amer assoc advancement science","cell biology; research \& experimental medicine",NA,NA,"17","transforming medicine via digital innovation","article","isi:000277264600003","1","13","2","cell biology; medicine, research \& experimental","2010"
